id,created_at,text
1322629191565758464,2020-10-31 19:59:07,"Coronavirus spreads quickly among household members, new CDC report finds. https://t.co/hYhThpfF1N"
1322624143674716160,2020-10-31 19:39:03,How one teacher’s Black Lives Matter lesson divided a small Wisconsin town. https://t.co/6M9K4s2Gh5
1322622699923976196,2020-10-31 19:33:19,"BREAKING: British PM Johnson announces new monthlong lockdown for England, beginning Thursday. 

“Unless we act, we… https://t.co/7fwoVvxehX"
1322620018719399937,2020-10-31 19:22:40,"RT @BillNeelyNBC: England will go into almost total lockdown next Thursday, PM @BorisJohnson announces. To save lives &amp; save Christmas. UK…"
1322619117644500993,2020-10-31 19:19:05,Actor Sean Connery has died at age 90. https://t.co/6SDXTALJHb
1322617924058779648,2020-10-31 19:14:20,"Former President Obama and Joe Biden campaign in Flint, Michigan, appearing together for the first time on the trai… https://t.co/siU2zkR4X2"
1322615100960854018,2020-10-31 19:03:07,Here's what happened when @NBCNews tried to report on the alleged Hunter Biden emails. https://t.co/naEx6bktrX
1322614888116580352,2020-10-31 19:02:16,"RT @NBCNightlyNews: TONIGHT: A special edition of @NBCNightlyNews as @jdbalart and @tvkatesnow anchor together.

Ahead of Election Day, Jos…"
1322610810766635013,2020-10-31 18:46:04,"21-year-old Kevin Peterson was shot and killed by deputies on Thursday, the Clark County sheriff said, adding that… https://t.co/lOTSCNa7rD"
1322606526528393220,2020-10-31 18:29:03,"7 out of Pennsylvania's 67 counties will wait to count mail-in ballots until the day after the election, according… https://t.co/GrCn062Z8j"
1322604483461980161,2020-10-31 18:20:56,"A Greek Orthodox priest was shot at a church in Lyon, France, on Saturday, and authorities are searching for the at… https://t.co/FTZwipzkUi"
1322602501296820231,2020-10-31 18:13:03,"Illegal Halloween party with nearly 400 people shut down by deputies in NYC, sheriff’s office says. https://t.co/2fzbi53n7y"
1322597983708393473,2020-10-31 17:55:06,Creators of dystopian sci-fi are as shocked by the events of 2020 as you are. https://t.co/ZFGtjBMhfK
1322593617702244352,2020-10-31 17:37:45,"RT @PhilMcCausland: Dems aim to flip several state legislatures on Tuesday. Compared to Trump/Biden, it seems trivial but the implications…"
1322592707483705344,2020-10-31 17:34:08,Joe Biden's win would give Democrats 4 years of power. State legislatures could give them 10. https://t.co/7QYqVIBL2i - @PhilMcCausland
1322591713052008448,2020-10-31 17:30:11,"An American citizen kidnapped in Niger last week was rescued in a US military operation early Saturday, according t… https://t.co/B6k5QQZF87"
1322588671988609029,2020-10-31 17:18:06,"Federal wildland firefighters say they're burned out after years of low pay, little job stability. https://t.co/LNR56xKKrl"
1322584894292242433,2020-10-31 17:03:05,Opinion | Jeb Lund: I want to be optimistic that there is some way to go trick-or-treating and not put ourselves at… https://t.co/wunk8VpXdE
1322580094792142849,2020-10-31 16:44:01,"If passed, California's Proposition 16 would repeal a 1996 measure that banned the consideration of race and sex in… https://t.co/2OwGVvQUNh"
1322575831282126848,2020-10-31 16:27:05,"Interactive: The NBC News National Polling Average, and the latest polling from battleground states. https://t.co/Wdhg50cwxI"
1322572560962342913,2020-10-31 16:14:05,"A group of parents in Florida is suing the Sarasota Co. school board for requiring students to wear face masks, whi… https://t.co/A46Qghncwy"
1322568794133434368,2020-10-31 15:59:07,The number of Latinos in Congress could rise from 39 to 45 this election. https://t.co/S0THryQI6e - @NBCLatino
1322564511048622080,2020-10-31 15:42:06,"Kentucky millennials with felony records head to the polls for first time. 

“I’ve gone my whole life feeling like… https://t.co/tTKYlvvMwp"
1322564220660187137,2020-10-31 15:40:56,"RT @cfarivar: Federal wildland firefighters say they're burned out after years of low pay, little job stability (by @cfarivar and @aliciavl…"
1322562725973794816,2020-10-31 15:35:00,How to vote safely amid the coronavirus pandemic. https://t.co/N4jKzCPF0w
1322560476316880898,2020-10-31 15:26:04,"Philippine officials order evacuation of thousands of residents as Typhoon Goni approaches. 

The storm is expected… https://t.co/4PmL99W9lU"
1322559917086167040,2020-10-31 15:23:50,"RT @NBCNewsTHINK: Covid and Halloween aren't a good match. How do I keep my kid safe without ruining his day?

I want to be optimistic that…"
1322558598791241729,2020-10-31 15:18:36,"President Trump campaigns in Pennsylvania on Saturday, as poll numbers show him trailing Joe Biden. https://t.co/X7CgbUXGW7"
1322556191864770566,2020-10-31 15:09:02,"Kyle Rittenhouse, the Illinois teen charged with fatally shooting two protesters during demonstrations and unrest i… https://t.co/RSngqhKF9x"
1322554849905561601,2020-10-31 15:03:42,"""His wife Micheline and his two sons, Jason and Stephane, have confirmed that he died peacefully in his sleep surro… https://t.co/RcIX7CTXK6"
1322551938538418176,2020-10-31 14:52:08,Here's what happened when @NBCNews tried to report on the alleged Hunter Biden emails. https://t.co/NDE3chufMw
1322549636591214595,2020-10-31 14:42:59,"PLAN YOUR VOTE: Election Day is almost here.

This guide from NBC News helps you know details and deadlines to vote… https://t.co/qRkrVTnAly"
1322547646775631872,2020-10-31 14:35:05,"""If I have to stay late after working, if it means doing it on my day off. They're not going to pass alone on my un… https://t.co/sIwzjVrbRe"
1322547177420410880,2020-10-31 14:33:13,RT @gabegutierrez: 'We are broken': Montana health care workers battle growing Covid outbreak https://t.co/gEJZD22bpt
1322543114658160640,2020-10-31 14:17:04,USDA issued billions in subsidies this year. Black farmers are still waiting for their share. https://t.co/sB8gJgGSeb
1322539103418785801,2020-10-31 14:01:08,Are outdoor dining bubbles safe? Here’s what experts want you to know. https://t.co/y7yKkg9foe - @TODAYshow
1322537356793122816,2020-10-31 13:54:12,How to track your ballot after mail-in voting. https://t.co/iXHhLwtimD
1322535551996669953,2020-10-31 13:47:01,"LIVE BLOG: Hourly updates with the latest election news, notes from the campaign trails, voting results and analysi… https://t.co/YGwmYthQUS"
1322531539020906497,2020-10-31 13:31:05,"One family’s fight to stay together against a system that can sometimes do more harm than good.

Subscribe and hear… https://t.co/bRPncFyJHG"
1322528980516458497,2020-10-31 13:20:55,RT @NBCNews: BREAKING: Actor Sean Connery has died at age 90. https://t.co/TlBSZgIii2
1322526734810554368,2020-10-31 13:11:59,BREAKING: Actor Sean Connery has died at age 90. https://t.co/TlBSZgIii2
1322523996815040513,2020-10-31 13:01:06,"“I can’t do it this time,” one older voter who backed the president’s first run in 2016 tells @NBCNews. “I’m just s… https://t.co/OFJ5kFRWJj"
1322522961052606465,2020-10-31 12:56:59,"BREAKING: Pentagon: U.S. forces have conducted a hostage rescue operation in northern Nigeria ""to recover an Americ… https://t.co/3gGbHUfSOK"
1322516437152530432,2020-10-31 12:31:04,Advocates fear Justice Barrett will strip away gay rights. It could begin next week. https://t.co/UDB3Hiof6i
1322513920083562501,2020-10-31 12:21:04,"RT @NBCInvestigates: From @JuliaEAinsley They fled prison, torture, and rape. Now they face deportation from the U.S. on ""death planes"" and…"
1322509140409917441,2020-10-31 12:02:04,"Michael Lang, a freshman at the University of Dayton in Ohio, died “apparently due to complications from” the coron… https://t.co/hlUEoCJpBo"
1322506367329067009,2020-10-31 11:51:03,"RT @TODAYshow: The U.S. hit another record of more than 98,000 coronavirus cases on Friday, triggering more restrictions in cities like Chi…"
1322503486672637952,2020-10-31 11:39:36,RT @TODAYshow: President Trump will host four rallies in the battleground state of Pennsylvania today. These rallies follow his stops in th…
1322501356146565120,2020-10-31 11:31:08,A Texas regulatory board reinstated nondiscrimination protections that had been removed this month at the recommend… https://t.co/5sdgFN58rY
1322493795091550209,2020-10-31 11:01:06,Prosecutors in Los Angeles said they have filed seven additional sexual assault counts against adult film actor Ron… https://t.co/N0yvXOOUfw
1322486232161619968,2020-10-31 10:31:03,Marc Anthony urges Puerto Ricans to send a clear message to President Trump in a new Lincoln Project ad: “Vote him… https://t.co/8VKYEITNlM
1322478684150943744,2020-10-31 10:01:03,"A Scottsdale, Arizona, man was arrested and fired from his job after he was seen in a video using a racial slur whi… https://t.co/9IQgTRUm85"
1322471138992312320,2020-10-31 09:31:04,Small indoor gatherings of families and friends are driving coronavirus outbreaks across the country — and that has… https://t.co/LUgRQSGRyA
1322463580709621760,2020-10-31 09:01:02,How one teacher’s Black Lives Matter lesson divided a small Wisconsin town. https://t.co/UirZYrM3JI
1322456046779117568,2020-10-31 08:31:06,Gay couples race to wed over fears for the future of same-sex marriage. https://t.co/t7pbNyibqk - @NBCOUT
1322448510705348608,2020-10-31 08:01:09,"Madison Cawthorn, a House candidate considered a rising star in the GOP, launched a campaign attack website accusin… https://t.co/6Sfdtg0Q5Y"
1322440942796886016,2020-10-31 07:31:05,Kim Kardashian’s 40th birthday celebration on a private island amid the coronavirus pandemic draws fierce backlash. https://t.co/IonVYApdLK
1322433400930770944,2020-10-31 07:01:07,A Texas man who was seen in a Facebook Live video saying he drives better when he drinks while sipping a beer faces… https://t.co/dajiPWuo7D
1322425842052567040,2020-10-31 06:31:04,"Russian President Putin says he saw nothing criminal in Hunter Biden’s past business ties with Ukraine or Russia, m… https://t.co/khfS1oATYI"
1322418302539321345,2020-10-31 06:01:07,"Hundreds of Trump supporters were left in the freezing cold for hours after a rally at an airfield in Omaha, Nebras… https://t.co/IEYAloOeku"
1322414507449327616,2020-10-31 05:46:02,Several people have died after a large landslide swept down the slope of the San Salvador volcano. It was caused af… https://t.co/TIONBCXgMc
